,Unnamed: 0,fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,class
3982,3982,1009,1209427200000,0.0,99.67,4.76,11.11,2.85,2.88,17.05,4.52,12.53,10.21,1.99,2.59,1.18,1.4,3.61,5.3,1.95,3.35,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3984,3984,1009,1210636800000,0.0,99.46,8.29,16.67,10.94,10.94,23.62,9.85,13.77,16.51,1.62,2.14,1.13,1.01,3.7,5.72,1.82,3.91,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3987,3987,1009,1212451200000,0.01,98.96,16.15,25.9,21.37,21.37,32.22,20.84,11.38,25.84,1.95,2.55,1.43,1.11,4.37,5.92,2.79,3.13,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3988,3988,1009,1213056000000,2.17,99.26,15.25,26.3,20.49,20.49,32.04,21.14,10.9,26.34,1.48,2.15,1.03,1.12,3.13,4.85,2.22,2.63,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3989,3989,1009,1213660800000,1.43,99.06,12.76,25.11,17.47,17.47,32.38,17.45,14.93,25.05,2.02,3.18,1.25,1.93,4.39,5.92,2.08,3.84,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3992,3992,1009,1215475200000,0.25,99.42,14.55,29.18,19.72,19.72,36.57,21.79,14.78,29.33,1.24,1.76,0.46,1.3,2.84,5.12,0.59,4.53,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
3998,3998,1009,1219104000000,0.01,99.13,13.11,27.07,18.02,18.02,34.89,19.46,15.44,26.82,1.54,2.08,0.97,1.11,3.14,4.27,1.38,2.89,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4001,4001,1009,1220918400000,5.5,99.31,16.65,24.62,21.85,21.85,29.6,20.98,8.62,24.5,0.95,1.35,0.33,1.02,2.46,4.24,0.52,3.72,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4002,4002,1009,1221523200000,0.0,99.54,9.58,18.68,13.25,13.25,25.74,14.12,11.63,18.74,2.05,2.72,1.51,1.21,4.45,6.08,3.64,2.44,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4003,4003,1009,1222128000000,0.0,99.99,9.64,20.81,13.41,13.41,29.02,14.84,14.17,20.7,1.99,2.52,1.56,0.97,4.53,6.08,2.5,3.58,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4004,4004,1009,1222732800000,0.0,98.99,9.08,22.61,12.27,12.27,30.68,16.44,14.24,21.59,1.74,2.71,0.45,2.26,3.47,5.73,0.65,5.08,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4005,4005,1009,1223337600000,8.37,99.53,11.72,20.84,16.13,16.13,26.21,17.9,8.3,20.86,2.45,3.69,1.81,1.89,5.0,6.67,3.66,3.01,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4006,4006,1009,1223942400000,0.0,99.99,10.45,21.47,14.61,14.61,28.59,16.54,12.05,20.71,1.69,2.17,1.19,0.98,3.27,4.67,2.29,2.38,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
4007,4007,1009,1224547200000,0.0,99.91,7.13,15.51,8.79,8.79,23.89,8.48,15.4,14.33,1.41,1.95,0.81,1.14,2.71,5.03,1.47,3.57,37.792542,-87.572577,120,0.0754,0.4719,0.4062,0.0454,0.0011,0.0,0.0,0.0,0.1041,0.1105,0.0975,0.1406,0.5473,0.0,0,0.897899985,3.047101498,14.45996666,80.71644592,0.878588974,81.59503174,1,1,1,1,1,1,1,1
