date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,class
18/01/2000,0.94,100.31,9.24,13.81,12.71,12.71,17.89,6.87,11.03,13.76,2.17,2.87,1.22,1.65,4.62,6.12,3.12,3.0,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
08/02/2000,0.0,100.99,4.76,8.05,3.2,3.21,17.04,2.25,14.79,7.55,1.38,2.01,0.79,1.22,3.04,4.52,1.14,3.38,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
22/02/2000,0.42,101.23,5.23,10.38,4.5,4.51,19.15,2.76,16.39,10.4,1.96,2.4,1.49,0.91,4.72,6.9,2.42,4.48,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
07/03/2000,0.0,100.69,7.42,16.66,9.34,9.34,25.66,9.22,16.45,15.61,1.9,2.28,1.14,1.14,4.09,6.91,1.55,5.36,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
11/04/2000,1.55,100.66,9.76,15.64,13.51,13.51,21.36,8.52,12.84,15.18,1.68,2.52,0.44,2.08,3.59,5.08,1.02,4.06,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
18/04/2000,0.0,100.07,7.9,14.42,10.33,10.33,22.41,7.54,14.87,14.37,2.02,2.86,1.26,1.6,4.46,5.14,3.35,1.78,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
02/05/2000,0.48,100.2,12.47,21.04,17.37,17.37,26.66,15.4,11.26,20.77,1.31,2.07,0.65,1.41,2.85,5.2,1.46,3.74,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
09/05/2000,0.23,99.73,12.2,22.76,16.94,16.94,29.41,16.01,13.4,22.8,1.8,2.2,1.19,1.02,4.18,6.52,2.16,4.35,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
23/05/2000,0.1,99.42,12.41,25.56,17.21,17.21,33.73,18.47,15.27,25.6,2.25,3.28,1.46,1.82,5.22,6.55,2.85,3.7,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
06/06/2000,0.09,100.32,8.68,19.74,11.71,11.72,26.69,14.08,12.61,19.77,2.29,2.86,1.58,1.28,4.85,6.22,3.31,2.91,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
13/06/2000,1.52,100.19,13.71,28.02,18.91,18.91,34.1,21.44,12.66,27.77,1.6,2.15,1.04,1.11,3.33,4.93,1.87,3.05,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
20/06/2000,0.71,100.32,15.18,27.77,20.56,20.57,34.54,21.58,12.97,27.8,1.58,2.37,0.97,1.41,3.57,4.45,1.64,2.8,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
27/06/2000,2.1,100.14,13.89,27.57,19.04,19.04,35.43,20.27,15.15,27.59,1.41,1.65,1.0,0.65,3.01,4.82,2.38,2.45,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
01/08/2000,2.99,100.15,15.38,25.31,20.76,20.76,30.1,22.08,8.02,25.33,1.6,2.21,1.05,1.15,3.38,4.53,2.52,2.0,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
08/08/2000,0.37,100.3,16.48,29.26,21.91,21.91,34.58,24.28,10.31,29.3,1.29,1.73,1.0,0.73,2.92,4.25,1.73,2.52,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
22/08/2000,0.0,100.68,11.65,27.82,16.42,16.43,35.76,21.15,14.6,27.92,1.65,2.06,1.36,0.7,3.61,5.53,2.12,3.4,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
05/09/2000,1.98,99.74,12.94,28.0,17.95,17.95,34.0,22.61,11.39,28.05,2.45,3.19,1.7,1.49,4.86,6.41,4.04,2.37,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
12/09/2000,3.14,99.98,14.53,25.78,19.8,19.8,30.31,21.17,9.14,25.81,1.36,1.81,0.95,0.86,3.09,4.59,2.07,2.52,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
17/10/2000,0.0,100.22,9.17,21.28,12.65,12.66,29.64,15.29,14.36,21.18,1.34,1.75,0.44,1.31,3.14,4.72,0.7,4.02,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
24/10/2000,0.0,101.14,8.33,21.08,11.33,11.33,29.62,14.0,15.62,20.43,1.56,2.01,1.14,0.86,3.23,4.89,1.73,3.16,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
28/11/2000,0.07,100.56,5.74,8.78,5.66,5.67,17.7,2.63,15.07,8.15,1.68,2.24,0.71,1.52,3.65,5.52,1.05,4.46,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
13/02/2001,3.7,100.9,8.49,12.0,11.42,11.42,16.65,7.93,8.72,12.04,1.7,2.48,1.13,1.35,3.48,5.42,2.26,3.16,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
20/02/2001,0.34,100.79,8.72,13.06,11.94,11.94,18.74,8.51,10.23,13.02,1.54,1.9,0.92,0.98,3.77,4.85,2.13,2.71,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
27/02/2001,14.55,100.41,7.89,12.64,10.13,10.13,19.42,6.84,12.58,12.6,1.18,1.71,0.32,1.4,2.59,4.76,0.75,4.01,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,1
13/03/2001,1.61,99.76,7.62,13.78,9.57,9.58,18.6,8.94,9.66,13.74,2.37,3.32,1.67,1.65,5.51,6.84,4.09,2.75,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
10/04/2001,0.0,99.92,14.89,23.4,20.21,20.21,29.2,18.49,10.71,23.4,1.62,2.33,0.97,1.36,4.02,5.82,1.52,4.3,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
24/04/2001,7.58,100.53,9.49,15.9,13.04,13.05,18.74,11.1,7.63,15.88,1.94,3.04,1.06,1.98,4.1,5.67,2.83,2.84,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
01/05/2001,0.0,100.48,10.8,19.33,15.22,15.22,24.32,14.06,10.26,19.05,1.51,1.92,1.03,0.88,3.18,4.49,1.59,2.91,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
22/05/2001,7.18,99.79,9.71,17.84,13.19,13.19,22.2,12.58,9.62,17.62,2.31,3.01,1.48,1.53,4.63,5.67,2.71,2.96,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
29/05/2001,2.59,99.99,12.25,21.33,17.0,17.0,26.81,15.44,11.37,21.28,1.72,2.28,1.22,1.05,3.86,4.68,2.74,1.94,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
05/06/2001,2.89,100.23,16.33,23.88,21.73,21.73,28.24,20.16,8.08,23.88,1.43,1.66,0.94,0.72,3.49,5.15,2.31,2.84,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
12/06/2001,0.4,99.49,15.23,24.74,20.49,20.49,30.02,19.7,10.32,24.48,1.58,2.09,1.11,0.98,3.12,4.22,2.43,1.79,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
19/06/2001,0.42,100.59,13.79,24.55,19.04,19.03,30.89,18.37,12.52,24.56,1.71,2.36,1.1,1.26,4.21,5.63,1.81,3.82,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
26/06/2001,6.57,100.66,13.12,23.39,18.26,18.26,29.91,16.18,13.72,23.32,1.23,1.66,0.61,1.05,2.91,4.46,0.95,3.51,38.443489,-84.332796,242,0.0219,0.2097,0.5104,0.2282,0.0246,0.0052,0.0,0.0,0.1937,0.1782,0.1896,0.2069,0.2316,0.0,0,0.629499972,2.600484371,14.89277267,80.65272522,1.224514961,81.87724304,1,1,1,1,1,1,1,0
