date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
13/09/2014,-2.6231,0.2031,-1.2871,-0.2431,-0.243,-0.9426,-0.3955
14/09/2014,3.5502,-0.0849,2.1836,-0.7852,-0.7853,1.8582,-0.5337
15/09/2014,7.55,-0.15,-0.57,3.48,3.48,-0.81,3.26
16/09/2014,-18.15,-0.21,-1.31,-4.45,-4.45,-1.25,-4.28
17/09/2014,9.13,-0.08,0.47,0.07,0.07,0.88,0.35
18/09/2014,1,0.35,-0.62,-0.78,-0.78,-1.32,-0.42
19/09/2014,-0.55,0.14,2.4,5.38,5.38,3.25,3.92
20/09/2014,-0.84,-0.02,-1.65,-2.84,-2.84,-2.2,-2.07
21/09/2014,1.18,-0.27,1.24,-0.21,-0.21,1.01,-0.11
22/09/2014,1.21,0.28,-4.54,-3.62,-3.62,-3.58,-2.43
23/09/2014,-3.62,0.1,1.96,1.87,1.87,1.49,1.21
24/09/2014,2.01,-0.05,2.59,4.56,4.56,2.42,2.91
25/09/2014,0,-0.3,-0.59,-2.01,-2,-0.79,-1.11
26/09/2014,0,-0.13,0.32,1.54,1.52,0.9,1.09
27/09/2014,0,0.17,0.75,-0.96,-0.95,0.41,-0.61
28/09/2014,0.68,-0.07,-2.12,0.21,0.21,-2.26,0.25
29/09/2014,-0.44,-0.26,1.76,-0.93,-0.93,2.05,-0.75
30/09/2014,-1.15,0.28,-0.63,-2.65,-2.65,-1.52,-2.19
01/10/2014,0.9,0.26,-3.55E-15,1.48,1.48,0.62,1.21
02/10/2014,2.05,-0.04,0.2,4.18,4.18,1.28,3.36
03/10/2014,16.04,-0.33,-3.03,-3.16,-3.16,-4.29,-2.31
04/10/2014,-38.2,0.54,-6.1,-13.97,-13.94,-5.53,-8.85
05/10/2014,20.12,-0.34,9.32,13.95,13.91,8.97,8.46
06/10/2014,0.1,-0.03,3.13,5.9,5.9,3.25,2.83
07/10/2014,-0.19,0.07,-0.4,-1.54,-1.54,-0.39,0.08
08/10/2014,0.1,0.19,-1.12,-1.9,-1.89,-2.02,-0.92
09/10/2014,-0.03,-0.29,-2.03,-3.93,-3.93,-0.93,-3.04
10/10/2014,2.46,-0.06,-0.8,3.7,3.7,-0.35,3.09
11/10/2014,-2.66,0.03,1.16,-2.2,-2.19,0,-1.88
12/10/2014,-0.42,0.1,-1.53,-1.77,-1.79,-0.69,-1.45
13/10/2014,30.37,-0.16,-0.05,3.83,3.84,-0.44,3.27
14/10/2014,-34.87,-0.21,-3.22,-6.93,-6.93,-3.19,-5.53
15/10/2014,-21.02,0.67,0.48,-0.14,-0.13,0.53,0.15
16/10/2014,26.15,-0.25,4.53,4.98,4.96,3.34,3.5
17/10/2014,0.01,0.01,0.32,1.5,1.51,1.91,0.94
18/10/2014,0,0.03,-1.64,-1.34,-1.34,-1.4,-0.93
19/10/2014,0,0.3,-2.25,-3.79,-3.78,-3.09,-2.05
20/10/2014,0,-0.59,3.33,4.43,4.42,3.6,2.46
21/10/2014,0,0.11,0.45,0.59,0.58,0.37,0.36
22/10/2014,0,0.38,-3.8,-5.59,-5.57,-3.84,-2.93
23/10/2014,0,-0.33,2.42,4.04,4.02,2.52,2.05
24/10/2014,0,-0.07,1.37,0.88,0.9,1.18,0.42
25/10/2014,0,0.14,0.04,1.22,1.2,-0.29,0.71
26/10/2014,0,-0.2,3.56,3.23,3.24,3.14,2.13
